DIKONOPHORA	Tanaidacea
MONOKONOPHORA	Tanaidacea
PROTOMYCETALES	Taphrinales
TEREBELLOMORPHA	Terebellida
ANAPSIDA	Testudines
TESTUDINATA	Testudines
PLECTOGNATHI	Tetraodontiformes
TETRAPHIDAE	Tetraphidae
DECAPODA	Teuthoidea
PTEROPODA	Thecosomata
THELODONTIFORMES	Thelodontida
THERMALES	Thermales
THERMUS GROUP	Thermales
CLUSTER	Thermoanaerobacterales
THERMOANAEROBACTER GROUP	Thermoanaerobacterales
THERMOANAEROBACTERALES	Thermoanaerobacterales
THERMOANAEROBACTERIALES	Thermoanaerobacterales
THERMOCOCCALES	Thermococcales
THERMODESULFOBACTERIALES	Thermodesulfobacteriales
THERMOGEMMATISPORALES	Thermogemmatisporales
THERMOLEOPHILALES	Thermoleophilales
THERMOLITHOBACTERALES	Thermolithobacterales
THERMOMICROBIALES	Thermomicrobiales
THERMOPLASMALES	Thermoplasmatales
THERMOPLASMATALES	Thermoplasmatales
THERMOPROTEALES	Thermoproteales
THERMOTOGALES	Thermotogales
BEGGIATOALES	Thiotrichales
THIOMICROSPIRA GROUP	Thiotrichales
THIOTHRIX GROUP	Thiotrichales
THIOTRICHALES	Thiotrichales
THOREALES	Thoreales
USTILAGINALES	Tilletiales
USTILAGNIALES	Tilletiales
TORPEDINOIDEI	Torpediniformes
CHRISTIANSENIALES	Tremellales
TRICHOSPORONALES	Tremellales
TREPOSTOMATA	Trepostomatida
TREUBIALES	Treubiales
EUPODISCALES	Triceratiales
TRICHIALES	Trichiida
TRICHOMONADIDA	Trichomonadida
TRICHONYMPHIDA	Trichonymphida
TRICHOSTOMINI	Trichostomatida
TRITRICHOMONADIDA	Tritrichomonadida
